time,Bx,By,Bz,
2003-10-30 05:38:00.000,14842.50,1682.80,49727.20,
2003-10-30 05:39:00.000,14830.60,1690.40,49723.80,
2003-10-30 05:40:00.000,14818.00,1686.80,49718.10,
2003-10-30 05:41:00.000,14813.30,1686.80,49717.80,
2003-10-30 05:42:00.000,14803.00,1692.80,49719.50,
2003-10-30 05:43:00.000,14810.20,1699.60,49718.10,
2003-10-30 05:44:00.000,14839.20,1695.50,49723.70,
2003-10-30 05:45:00.000,14828.90,1687.90,49725.10,
2003-10-30 05:46:00.000,14819.60,1688.00,49720.90,
2003-10-30 05:47:00.000,14831.70,1689.40,49722.80,
2003-10-30 05:48:00.000,14836.80,1685.80,49730.50,
2003-10-30 05:49:00.000,14827.90,1683.90,49730.90,
2003-10-30 05:50:00.000,14826.80,1684.00,49727.60,
2003-10-30 05:51:00.000,14821.90,1680.70,49724.70,
2003-10-30 05:52:00.000,14821.50,1684.60,49724.00,
2003-10-30 05:53:00.000,14833.10,1686.20,49729.00,
2003-10-30 05:54:00.000,14836.60,1682.50,49732.30,
2003-10-30 05:55:00.000,14831.10,1680.00,49731.40,
2003-10-30 05:56:00.000,14827.10,1687.70,49729.10,
2003-10-30 05:57:00.000,14826.60,1682.70,49728.40,
2003-10-30 05:58:00.000,14830.10,1682.80,49730.90,
2003-10-30 05:59:00.000,14834.00,1684.40,49730.90,
2003-10-30 06:00:00.000,14832.60,1683.90,49730.90,
2003-10-30 06:01:00.000,14824.20,1683.10,49730.30,
2003-10-30 06:02:00.000,14820.30,1685.50,49733.60,
2003-10-30 06:03:00.000,14819.40,1690.70,49738.70,
2003-10-30 06:04:00.000,14828.80,1692.30,49744.60,
2003-10-30 06:05:00.000,14826.30,1691.70,49741.90,
2003-10-30 06:06:00.000,14826.00,1693.50,49745.60,
2003-10-30 06:07:00.000,14822.10,1700.20,49755.20,
2003-10-30 06:08:00.000,14830.10,1706.50,49760.30,
2003-10-30 06:09:00.000,14825.80,1711.70,49760.40,
2003-10-30 06:10:00.000,14822.40,1720.40,49757.50,
2003-10-30 06:11:00.000,14816.30,1722.00,49749.70,
2003-10-30 06:12:00.000,14824.30,1719.10,49746.20,
2003-10-30 06:13:00.000,14849.30,1709.80,49746.60,
2003-10-30 06:14:00.000,14842.10,1708.00,49745.20,
2003-10-30 06:15:00.000,14829.10,1709.70,49734.70,
2003-10-30 06:16:00.000,14833.40,1703.60,49729.50,
2003-10-30 06:17:00.000,14836.30,1689.10,49731.70,
2003-10-30 06:18:00.000,14827.30,1689.60,49732.00,
2003-10-30 06:19:00.000,14829.00,1697.20,49732.40,
2003-10-30 06:20:00.000,14827.80,1697.90,49736.70,
2003-10-30 06:21:00.000,14826.90,1696.10,49738.00,
2003-10-30 06:22:00.000,14821.50,1695.10,49734.90,
2003-10-30 06:23:00.000,14821.80,1694.60,49734.00,
2003-10-30 06:24:00.000,14826.40,1697.80,49738.70,
2003-10-30 06:25:00.000,14826.80,1705.60,49743.00,
2003-10-30 06:26:00.000,14828.90,1703.10,49743.50,
2003-10-30 06:27:00.000,14835.90,1704.90,49744.10,
2003-10-30 06:28:00.000,14828.30,1699.80,49739.70,
2003-10-30 06:29:00.000,14822.50,1694.40,49736.30,
2003-10-30 06:30:00.000,14827.30,1702.60,49738.60,
2003-10-30 06:31:00.000,14833.20,1703.10,49741.40,
2003-10-30 06:32:00.000,14831.70,1697.30,49737.50,
2003-10-30 06:33:00.000,14845.70,1695.40,49734.70,
2003-10-30 06:34:00.000,14851.10,1700.30,49739.30,
2003-10-30 06:35:00.000,14825.10,1694.20,49738.20,
2003-10-30 06:36:00.000,14819.20,1689.50,49731.20,
2003-10-30 06:37:00.000,14826.20,1692.30,49730.10,
2003-10-30 06:38:00.000,14825.70,1693.40,49733.60,
2003-10-30 06:39:00.000,14825.50,1690.00,49733.10,
2003-10-30 06:40:00.000,14826.70,1692.70,49734.30,
2003-10-30 06:41:00.000,14825.90,1694.40,49735.90,
2003-10-30 06:42:00.000,14824.50,1694.10,49732.80,
2003-10-30 06:43:00.000,14822.90,1690.90,49727.30,
2003-10-30 06:44:00.000,14820.90,1684.90,49723.60,
2003-10-30 06:45:00.000,14826.00,1690.20,49725.30,
2003-10-30 06:46:00.000,14833.20,1690.60,49728.90,
2003-10-30 06:47:00.000,14832.70,1689.70,49730.60,
2003-10-30 06:48:00.000,14832.70,1686.40,49729.90,
2003-10-30 06:49:00.000,14826.10,1683.00,49727.10,
2003-10-30 06:50:00.000,14822.20,1693.40,49725.00,
2003-10-30 06:51:00.000,14819.50,1690.80,49724.00,
2003-10-30 06:52:00.000,14816.70,1690.60,49725.40,
2003-10-30 06:53:00.000,14836.20,1690.20,49728.70,
2003-10-30 06:54:00.000,14833.50,1685.90,49731.50,
2003-10-30 06:55:00.000,14825.90,1683.70,49729.10,
2003-10-30 06:56:00.000,14830.40,1687.90,49727.50,
2003-10-30 06:57:00.000,14826.10,1693.30,49728.30,
2003-10-30 06:58:00.000,14828.90,1690.00,49725.90,
2003-10-30 06:59:00.000,14829.20,1694.40,49727.50,
2003-10-30 07:00:00.000,14831.30,1689.20,49727.90,
2003-10-30 07:01:00.000,14814.20,1684.80,49723.20,
2003-10-30 07:02:00.000,14823.70,1680.50,49720.00,
2003-10-30 07:03:00.000,14845.60,1678.30,49726.20,
2003-10-30 07:04:00.000,14837.70,1670.90,49727.00,
2003-10-30 07:05:00.000,14835.00,1673.60,49726.20,
2003-10-30 07:06:00.000,14822.30,1684.30,49726.40,
2003-10-30 07:07:00.000,14823.20,1684.20,49723.20,
2003-10-30 07:08:00.000,14830.00,1680.10,49722.40,
2003-10-30 07:09:00.000,14819.00,1686.40,49722.50,
2003-10-30 07:10:00.000,14838.20,1693.40,49726.00,
2003-10-30 07:11:00.000,14832.90,1693.60,49728.10,
2003-10-30 07:12:00.000,14811.90,1683.10,49722.00,
2003-10-30 07:13:00.000,14822.60,1687.80,49719.70,
2003-10-30 07:14:00.000,14842.00,1689.60,49721.70,
2003-10-30 07:15:00.000,14838.50,1677.60,49719.30,
2003-10-30 07:16:00.000,14809.80,1680.70,49716.30,
2003-10-30 07:17:00.000,14812.30,1693.00,49717.50,
2003-10-30 07:18:00.000,14825.30,1688.60,49720.50,
2003-10-30 07:19:00.000,14816.10,1680.80,49717.90,
2003-10-30 07:20:00.000,14821.10,1686.20,49717.00,
2003-10-30 07:21:00.000,14824.40,1689.10,49717.20,
2003-10-30 07:22:00.000,14809.90,1695.30,49715.50,
2003-10-30 07:23:00.000,14816.00,1680.90,49709.80,
2003-10-30 07:24:00.000,14832.20,1678.60,49713.40,
2003-10-30 07:25:00.000,14834.40,1676.10,49718.00,
2003-10-30 07:26:00.000,14819.00,1670.00,49717.70,
2003-10-30 07:27:00.000,14811.80,1673.80,49714.40,
2003-10-30 07:28:00.000,14811.80,1683.10,49713.70,
